line_code,line_name,station_order,station_name
magenta,Magenta Line,1,Botanical Garden
magenta,Magenta Line,2,Okhla Vihar
magenta,Magenta Line,3,Sukhdev Vihar
magenta,Magenta Line,4,Jamia Millia Islamia
magenta,Magenta Line,5,Munirka
magenta,Magenta Line,6,Chhatarpur
magenta,Magenta Line,7,Mehrauli
magenta,Magenta Line,8,Chhattarpur
magenta,Magenta Line,9,Kalkaji Mandir
magenta,Magenta Line,10,Greater Kailash
magenta,Magenta Line,11,Lajpat Nagar
magenta,Magenta Line,12,Khan Market
magenta,Magenta Line,13,Mandi House
magenta,Magenta Line,14,Delhi Gate
magenta,Magenta Line,15,Chandni Chowk
magenta,Magenta Line,16,Kasturba Nagar
magenta,Magenta Line,17,Inder Lok
magenta,Magenta Line,18,Netaji Subhas Place
